trials,S1_val,S1_std,S2_val,S2_std
96,8,1,2,1
97,8,1,2,1
98,8,1,2,1
99,8,1,2,1
100,8,1,2,1
1,8,1,3,1
2,8,1,3,1
3,8,1,3,1
4,8,1,3,1
5,8,1,3,1
6,8,1,3,1
7,8,1,3,1
8,8,1,3,1
9,8,1,3,1
10,8,1,3,1
11,8,1,3,1
12,8,1,3,1
13,8,1,3,1
14,8,1,3,1
15,8,1,3,1
16,8,1,3,1
17,8,1,3,1
18,8,1,3,1
19,8,1,3,1
20,8,1,3,1
21,8,1,3,1
22,8,1,3,1
23,8,1,3,1
24,8,1,3,1
25,8,1,3,1
26,8,1,3,1
27,8,1,3,1
28,8,1,3,1
29,8,1,3,1
30,8,1,3,1
31,8,1,3,1
32,8,1,3,1
33,8,1,3,1
34,8,1,3,1
35,8,1,3,1
36,8,1,3,1
37,8,1,3,1
38,8,1,3,1
39,8,1,3,1
40,8,1,3,1
41,8,1,3,1
42,8,1,3,1
43,8,1,3,1
44,8,1,3,1
45,8,1,3,1
46,8,1,3,1
47,8,1,3,1
48,8,1,3,1
49,8,1,3,1
50,8,1,3,1
51,8,1,3,1
52,8,1,3,1
53,8,1,3,1
54,8,1,3,1
55,8,1,3,1
56,8,1,3,1
57,8,1,3,1
58,8,1,3,1
59,8,1,3,1
60,8,1,3,1
61,8,1,3,1
62,8,1,3,1
63,8,1,3,1
64,8,1,3,1
65,8,1,3,1
66,8,1,3,1
67,8,1,3,1
68,8,1,3,1
69,8,1,3,1
70,8,1,3,1
71,8,1,3,1
72,8,1,3,1
73,8,1,3,1
74,8,1,3,1
75,8,1,3,1
76,8,1,3,1
77,8,1,3,1
78,8,1,3,1
79,8,1,3,1
80,8,1,3,1
81,8,1,3,1
82,8,1,3,1
83,8,1,3,1
84,8,1,3,1
85,8,1,3,1
86,8,1,3,1
87,8,1,3,1
88,8,1,3,1
89,8,1,3,1
90,8,1,3,1
91,8,1,3,1
92,8,1,3,1
93,8,1,3,1
94,8,1,3,1
95,8,1,3,1
96,8,1,3,1
97,8,1,3,1
98,8,1,3,1
99,8,1,3,1
100,8,1,3,1
1,8,1,4,1
2,8,1,4,1
3,8,1,4,1
4,8,1,4,1
5,8,1,4,1
6,8,1,4,1
7,8,1,4,1
8,8,1,4,1
9,8,1,4,1
10,8,1,4,1
11,8,1,4,1
12,8,1,4,1
13,8,1,4,1
14,8,1,4,1
15,8,1,4,1
16,8,1,4,1
17,8,1,4,1
18,8,1,4,1
19,8,1,4,1
20,8,1,4,1
21,8,1,4,1
22,8,1,4,1
23,8,1,4,1
24,8,1,4,1
25,8,1,4,1
26,8,1,4,1
27,8,1,4,1
28,8,1,4,1
29,8,1,4,1
30,8,1,4,1
31,8,1,4,1
32,8,1,4,1
33,8,1,4,1
34,8,1,4,1
35,8,1,4,1
36,8,1,4,1
37,8,1,4,1
38,8,1,4,1
39,8,1,4,1
40,8,1,4,1
41,8,1,4,1
42,8,1,4,1
43,8,1,4,1
44,8,1,4,1
45,8,1,4,1
46,8,1,4,1
47,8,1,4,1
48,8,1,4,1
49,8,1,4,1
50,8,1,4,1
51,8,1,4,1
52,8,1,4,1
53,8,1,4,1
54,8,1,4,1
55,8,1,4,1
56,8,1,4,1
57,8,1,4,1
58,8,1,4,1
59,8,1,4,1
60,8,1,4,1
61,8,1,4,1
62,8,1,4,1
63,8,1,4,1
64,8,1,4,1
65,8,1,4,1
66,8,1,4,1
67,8,1,4,1
68,8,1,4,1
69,8,1,4,1
70,8,1,4,1
71,8,1,4,1
72,8,1,4,1
73,8,1,4,1
74,8,1,4,1
75,8,1,4,1
76,8,1,4,1
77,8,1,4,1
78,8,1,4,1
79,8,1,4,1
80,8,1,4,1
81,8,1,4,1
82,8,1,4,1
83,8,1,4,1
84,8,1,4,1
85,8,1,4,1
86,8,1,4,1
87,8,1,4,1
88,8,1,4,1
89,8,1,4,1
90,8,1,4,1
91,8,1,4,1
92,8,1,4,1
93,8,1,4,1
94,8,1,4,1
95,8,1,4,1
96,8,1,4,1
97,8,1,4,1
98,8,1,4,1
99,8,1,4,1
100,8,1,4,1
1,8,1,5,1
2,8,1,5,1
3,8,1,5,1
4,8,1,5,1
5,8,1,5,1
6,8,1,5,1
7,8,1,5,1
8,8,1,5,1
9,8,1,5,1
10,8,1,5,1
11,8,1,5,1
12,8,1,5,1
13,8,1,5,1
14,8,1,5,1
15,8,1,5,1
16,8,1,5,1
17,8,1,5,1
18,8,1,5,1
19,8,1,5,1
20,8,1,5,1
21,8,1,5,1
22,8,1,5,1
23,8,1,5,1
24,8,1,5,1
25,8,1,5,1
26,8,1,5,1
27,8,1,5,1
28,8,1,5,1
29,8,1,5,1
30,8,1,5,1
31,8,1,5,1
32,8,1,5,1
33,8,1,5,1
34,8,1,5,1
35,8,1,5,1
36,8,1,5,1
37,8,1,5,1
38,8,1,5,1
39,8,1,5,1
40,8,1,5,1
41,8,1,5,1
42,8,1,5,1
43,8,1,5,1
44,8,1,5,1
45,8,1,5,1
46,8,1,5,1
47,8,1,5,1
48,8,1,5,1
49,8,1,5,1
50,8,1,5,1
51,8,1,5,1
52,8,1,5,1
53,8,1,5,1
54,8,1,5,1
55,8,1,5,1
56,8,1,5,1
57,8,1,5,1
58,8,1,5,1
59,8,1,5,1
60,8,1,5,1
61,8,1,5,1
62,8,1,5,1
63,8,1,5,1
64,8,1,5,1
65,8,1,5,1
66,8,1,5,1
67,8,1,5,1
68,8,1,5,1
69,8,1,5,1
70,8,1,5,1
71,8,1,5,1
72,8,1,5,1
73,8,1,5,1
74,8,1,5,1
75,8,1,5,1
76,8,1,5,1
77,8,1,5,1
78,8,1,5,1
79,8,1,5,1
80,8,1,5,1
81,8,1,5,1
82,8,1,5,1
83,8,1,5,1
84,8,1,5,1
85,8,1,5,1
86,8,1,5,1
87,8,1,5,1
88,8,1,5,1
89,8,1,5,1
90,8,1,5,1
91,8,1,5,1
92,8,1,5,1
93,8,1,5,1
94,8,1,5,1
95,8,1,5,1
96,8,1,5,1
97,8,1,5,1
98,8,1,5,1
99,8,1,5,1
100,8,1,5,1
1,8,1,6,1
2,8,1,6,1
3,8,1,6,1
4,8,1,6,1
5,8,1,6,1
6,8,1,6,1
7,8,1,6,1
8,8,1,6,1
9,8,1,6,1
10,8,1,6,1
11,8,1,6,1
12,8,1,6,1
13,8,1,6,1
14,8,1,6,1
15,8,1,6,1
16,8,1,6,1
17,8,1,6,1
18,8,1,6,1
19,8,1,6,1
20,8,1,6,1
21,8,1,6,1
22,8,1,6,1
23,8,1,6,1
24,8,1,6,1
25,8,1,6,1
26,8,1,6,1
27,8,1,6,1
28,8,1,6,1
29,8,1,6,1
30,8,1,6,1
31,8,1,6,1
32,8,1,6,1
33,8,1,6,1
34,8,1,6,1
35,8,1,6,1
36,8,1,6,1
37,8,1,6,1
38,8,1,6,1
39,8,1,6,1
40,8,1,6,1
41,8,1,6,1
42,8,1,6,1
43,8,1,6,1
44,8,1,6,1
45,8,1,6,1
46,8,1,6,1
47,8,1,6,1
48,8,1,6,1
49,8,1,6,1
50,8,1,6,1
51,8,1,6,1
52,8,1,6,1
53,8,1,6,1
54,8,1,6,1
55,8,1,6,1
56,8,1,6,1
57,8,1,6,1
58,8,1,6,1
59,8,1,6,1
60,8,1,6,1
61,8,1,6,1
62,8,1,6,1
63,8,1,6,1
64,8,1,6,1
65,8,1,6,1
66,8,1,6,1
67,8,1,6,1
68,8,1,6,1
69,8,1,6,1
70,8,1,6,1
71,8,1,6,1
72,8,1,6,1
73,8,1,6,1
74,8,1,6,1
75,8,1,6,1
76,8,1,6,1
77,8,1,6,1
78,8,1,6,1
79,8,1,6,1
80,8,1,6,1
81,8,1,6,1
82,8,1,6,1
83,8,1,6,1
84,8,1,6,1
85,8,1,6,1
86,8,1,6,1
87,8,1,6,1
88,8,1,6,1
89,8,1,6,1
90,8,1,6,1
91,8,1,6,1
92,8,1,6,1
93,8,1,6,1
94,8,1,6,1
95,8,1,6,1
96,8,1,6,1
97,8,1,6,1
98,8,1,6,1
99,8,1,6,1
100,8,1,6,1
1,8,1,7,1
2,8,1,7,1
3,8,1,7,1
4,8,1,7,1
5,8,1,7,1
6,8,1,7,1
7,8,1,7,1
8,8,1,7,1
9,8,1,7,1
10,8,1,7,1
11,8,1,7,1
12,8,1,7,1
13,8,1,7,1
14,8,1,7,1
15,8,1,7,1
16,8,1,7,1
17,8,1,7,1
18,8,1,7,1
19,8,1,7,1
20,8,1,7,1
21,8,1,7,1
22,8,1,7,1
23,8,1,7,1
24,8,1,7,1
25,8,1,7,1
26,8,1,7,1
27,8,1,7,1
28,8,1,7,1
29,8,1,7,1
30,8,1,7,1
31,8,1,7,1
32,8,1,7,1
33,8,1,7,1
34,8,1,7,1
35,8,1,7,1
36,8,1,7,1
37,8,1,7,1
38,8,1,7,1
39,8,1,7,1
40,8,1,7,1
41,8,1,7,1
42,8,1,7,1
43,8,1,7,1
44,8,1,7,1
45,8,1,7,1
46,8,1,7,1
47,8,1,7,1
48,8,1,7,1
49,8,1,7,1
50,8,1,7,1
51,8,1,7,1
52,8,1,7,1
53,8,1,7,1
54,8,1,7,1
55,8,1,7,1
56,8,1,7,1
57,8,1,7,1
58,8,1,7,1
59,8,1,7,1
60,8,1,7,1
61,8,1,7,1
62,8,1,7,1
63,8,1,7,1
64,8,1,7,1
65,8,1,7,1
66,8,1,7,1
67,8,1,7,1
68,8,1,7,1
69,8,1,7,1
70,8,1,7,1
71,8,1,7,1
72,8,1,7,1
73,8,1,7,1
74,8,1,7,1
75,8,1,7,1
76,8,1,7,1
77,8,1,7,1
78,8,1,7,1
79,8,1,7,1
80,8,1,7,1
81,8,1,7,1
82,8,1,7,1
83,8,1,7,1
84,8,1,7,1
85,8,1,7,1
86,8,1,7,1
87,8,1,7,1
88,8,1,7,1
89,8,1,7,1
90,8,1,7,1
91,8,1,7,1
92,8,1,7,1
93,8,1,7,1
94,8,1,7,1
95,8,1,7,1
96,8,1,7,1
97,8,1,7,1
98,8,1,7,1
99,8,1,7,1
100,8,1,7,1
1,8,1,8,1
2,8,1,8,1
3,8,1,8,1
4,8,1,8,1
5,8,1,8,1
6,8,1,8,1
7,8,1,8,1
8,8,1,8,1
9,8,1,8,1
10,8,1,8,1
11,8,1,8,1
12,8,1,8,1
13,8,1,8,1
14,8,1,8,1
15,8,1,8,1
16,8,1,8,1
17,8,1,8,1
18,8,1,8,1
19,8,1,8,1
20,8,1,8,1
21,8,1,8,1
22,8,1,8,1
23,8,1,8,1
24,8,1,8,1
25,8,1,8,1
26,8,1,8,1
27,8,1,8,1
28,8,1,8,1
29,8,1,8,1
30,8,1,8,1
31,8,1,8,1
32,8,1,8,1
33,8,1,8,1
34,8,1,8,1
35,8,1,8,1
36,8,1,8,1
37,8,1,8,1
38,8,1,8,1
39,8,1,8,1
40,8,1,8,1
41,8,1,8,1
42,8,1,8,1
43,8,1,8,1
44,8,1,8,1
45,8,1,8,1
46,8,1,8,1
47,8,1,8,1
48,8,1,8,1
49,8,1,8,1
50,8,1,8,1
51,8,1,8,1
52,8,1,8,1
53,8,1,8,1
54,8,1,8,1
55,8,1,8,1
56,8,1,8,1
57,8,1,8,1
58,8,1,8,1
59,8,1,8,1
60,8,1,8,1
61,8,1,8,1
62,8,1,8,1
63,8,1,8,1
64,8,1,8,1
65,8,1,8,1
66,8,1,8,1
67,8,1,8,1
68,8,1,8,1
69,8,1,8,1
70,8,1,8,1
71,8,1,8,1
72,8,1,8,1
73,8,1,8,1
74,8,1,8,1
75,8,1,8,1
76,8,1,8,1
77,8,1,8,1
78,8,1,8,1
79,8,1,8,1
80,8,1,8,1
81,8,1,8,1
82,8,1,8,1
83,8,1,8,1
84,8,1,8,1
85,8,1,8,1
86,8,1,8,1
87,8,1,8,1
88,8,1,8,1
89,8,1,8,1
90,8,1,8,1
91,8,1,8,1
92,8,1,8,1
93,8,1,8,1
94,8,1,8,1
95,8,1,8,1
96,8,1,8,1
97,8,1,8,1
98,8,1,8,1
99,8,1,8,1
100,8,1,8,1
1,8,1,9,1
2,8,1,9,1
3,8,1,9,1
4,8,1,9,1
5,8,1,9,1
6,8,1,9,1
7,8,1,9,1
8,8,1,9,1
9,8,1,9,1
10,8,1,9,1
11,8,1,9,1
12,8,1,9,1
13,8,1,9,1
14,8,1,9,1
15,8,1,9,1
16,8,1,9,1
17,8,1,9,1
18,8,1,9,1
19,8,1,9,1
20,8,1,9,1
21,8,1,9,1
22,8,1,9,1
23,8,1,9,1
24,8,1,9,1
25,8,1,9,1
26,8,1,9,1
27,8,1,9,1
28,8,1,9,1
29,8,1,9,1
30,8,1,9,1
31,8,1,9,1
32,8,1,9,1
33,8,1,9,1
34,8,1,9,1
35,8,1,9,1
36,8,1,9,1
37,8,1,9,1
38,8,1,9,1
39,8,1,9,1
40,8,1,9,1
41,8,1,9,1
42,8,1,9,1
43,8,1,9,1
44,8,1,9,1
45,8,1,9,1
46,8,1,9,1
47,8,1,9,1
48,8,1,9,1
49,8,1,9,1
50,8,1,9,1
51,8,1,9,1
52,8,1,9,1
53,8,1,9,1
54,8,1,9,1
55,8,1,9,1
56,8,1,9,1
57,8,1,9,1
58,8,1,9,1
59,8,1,9,1
60,8,1,9,1
61,8,1,9,1
62,8,1,9,1
63,8,1,9,1
64,8,1,9,1
65,8,1,9,1
66,8,1,9,1
67,8,1,9,1
68,8,1,9,1
69,8,1,9,1
70,8,1,9,1
71,8,1,9,1
72,8,1,9,1
73,8,1,9,1
74,8,1,9,1
75,8,1,9,1
76,8,1,9,1
77,8,1,9,1
78,8,1,9,1
79,8,1,9,1
80,8,1,9,1
81,8,1,9,1
82,8,1,9,1
83,8,1,9,1
84,8,1,9,1
85,8,1,9,1
86,8,1,9,1
87,8,1,9,1
88,8,1,9,1
89,8,1,9,1
90,8,1,9,1
91,8,1,9,1
92,8,1,9,1
93,8,1,9,1
94,8,1,9,1
95,8,1,9,1
96,8,1,9,1
97,8,1,9,1
98,8,1,9,1
99,8,1,9,1
100,8,1,9,1
1,8,1,10,1
2,8,1,10,1
3,8,1,10,1
4,8,1,10,1
5,8,1,10,1
6,8,1,10,1
7,8,1,10,1
8,8,1,10,1
9,8,1,10,1
10,8,1,10,1
11,8,1,10,1
12,8,1,10,1
13,8,1,10,1
14,8,1,10,1
15,8,1,10,1
16,8,1,10,1
17,8,1,10,1
18,8,1,10,1
19,8,1,10,1
20,8,1,10,1
21,8,1,10,1
22,8,1,10,1
23,8,1,10,1
24,8,1,10,1
25,8,1,10,1
26,8,1,10,1
27,8,1,10,1
28,8,1,10,1
29,8,1,10,1
30,8,1,10,1
31,8,1,10,1
32,8,1,10,1
33,8,1,10,1
34,8,1,10,1
35,8,1,10,1
36,8,1,10,1
37,8,1,10,1
38,8,1,10,1
39,8,1,10,1
40,8,1,10,1
41,8,1,10,1
42,8,1,10,1
43,8,1,10,1
44,8,1,10,1
45,8,1,10,1
46,8,1,10,1
47,8,1,10,1
48,8,1,10,1
49,8,1,10,1
50,8,1,10,1
51,8,1,10,1
52,8,1,10,1
53,8,1,10,1
54,8,1,10,1
55,8,1,10,1
56,8,1,10,1
57,8,1,10,1
58,8,1,10,1
59,8,1,10,1
60,8,1,10,1
61,8,1,10,1
62,8,1,10,1
63,8,1,10,1
64,8,1,10,1
65,8,1,10,1
66,8,1,10,1
67,8,1,10,1
68,8,1,10,1
69,8,1,10,1
70,8,1,10,1
71,8,1,10,1
72,8,1,10,1
73,8,1,10,1
74,8,1,10,1
75,8,1,10,1
76,8,1,10,1
77,8,1,10,1
78,8,1,10,1
79,8,1,10,1
80,8,1,10,1
81,8,1,10,1
82,8,1,10,1
83,8,1,10,1
84,8,1,10,1
85,8,1,10,1
86,8,1,10,1
87,8,1,10,1
88,8,1,10,1
89,8,1,10,1
90,8,1,10,1
91,8,1,10,1
92,8,1,10,1
93,8,1,10,1
94,8,1,10,1
95,8,1,10,1
96,8,1,10,1
97,8,1,10,1
98,8,1,10,1
99,8,1,10,1
100,8,1,10,1
